State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Uttar Pradesh,Unnao,1980,75.15308523622359,50.83036279968293,59.57277125155875,61.852073095821765,74.85068022822878,51.132767807677745,74.15329226919106,51.83015576671547
Uttar Pradesh,Unnao,1981,82.35708983038056,54.323373952245106,64.38571679020933,67.02206019094498,82.06771292987516,54.61275085275051,77.66182332352741,59.01864045909823
Uttar Pradesh,Unnao,1982,96.20932823147129,70.62963621995118,79.67752709669574,82.17216384937272,95.72769617873823,71.11126827268424,93.93399104991326,72.90497340150921
Uttar Pradesh,Unnao,1983,92.55935844843057,65.92486348678972,76.0689364487196,78.18438612797996,91.82360595549558,66.66061597972471,86.01655010619783,72.3388300952072
Uttar Pradesh,Unnao,1984,87.14942833841789,64.06514828440697,71.66532816908503,74.29330159730328,86.82103499347407,64.39354162935079,85.60138919463404,65.61318742819083
Uttar Pradesh,Unnao,1985,63.44955945067517,35.33152243383975,45.874973296788845,48.114302390493975,63.20350178437196,35.57758010014296,56.02541954587091,42.12936631900035
Uttar Pradesh,Unnao,1986,109.03235401924287,81.40129603580323,91.04632904662094,93.82665970055568,108.74811907296926,81.68553098207684,102.58100850743268,87.68330518923214
Uttar Pradesh,Unnao,1987,95.5895714818158,61.814769684015154,75.76065955522998,77.42917778988067,94.7056096832207,62.698731482610256,85.03766530415459,70.61174115883853
Uttar Pradesh,Unnao,1988,125.41693488697345,100.08007230209523,112.72331299334523,112.30338368180212,124.24306449251829,101.25394269655038,116.78831236905147,107.65130300029352
Uttar Pradesh,Unnao,1989,104.83360945364524,74.36595619475372,85.08922206575,88.09626257138298,104.27613034833242,74.92343530006654,98.6114114764683,80.58815417193065
Uttar Pradesh,Unnao,1990,99.86186794623569,67.59660630443852,79.90308078461915,82.22372156469409,99.25886354188557,68.19961070878863,90.74046988019415,75.33722368805786
Uttar Pradesh,Unnao,1991,117.14232914285758,79.75350789713839,96.83869578576505,96.87449211237458,116.42977965708835,80.46605738290762,103.13835600818979,87.53536805453167
Uttar Pradesh,Unnao,1992,129.68932658331812,90.3763839813353,110.03285528232671,108.47319725060794,129.35862505717031,90.7070855074831,113.66237477214815,97.48960014277705
Uttar Pradesh,Unnao,1993,126.94689430591606,98.30604718361029,107.86438594713411,111.03910914555348,125.98220054132241,99.27074094820392,121.97891222481401,103.27402926471234
